165,GBAB,410.95M,-,-,-,23.58
167,GIM,826.33M,13.65,0.87,-,6.16
169,GOF,659.93M,-,-,-,18.12
171,HIX,568.84M,9.48,0.91,-,6.68
173,HPI,594.61M,11.74,1.06,-,22.79
175,HTD,974.72M,14.61,1.07,-,27.54
177,IIM,719.49M,14.32,0.91,-,15.29
179,ISD,505.50M,-,-,-,15.20
182,JPI,580.31M,-,-,-,25.50
184,JQC,1.03B,9.97,0.89,-,7.60
186,KIO,319.34M,-,-,-,15.70
188,LEO,528.66M,14.11,0.98,-,8.50
190,MCI,344.06M,11.42,1.12,-,17.10
192,MEN,335.70M,13.73,0.96,-,11.31
194,MHN,425.57M,14.86,0.89,-,13.67
196,MIY,417.65M,14.26,0.90,-,14.12
198,MMT,394.47M,15.97,0.98,-,6.14
200,MQY,462.53M,14.09,0.96,-,15.06
181,JPC,1.07B,10.41,1.02,-,10.39
183,JPS,2.04B,10.64,1.02,-,10.02
185,JRO,400.95M,9.23,0.90,-,9.89
187,KTF,449.92M,14.44,0.91,-,11.39
189,MCA,489.25M,14.25,0.90,-,14.22
191,MCR,379.39M,16.77,0.96,-,8.41
193,MFL,503.26M,13.94,0.89,-,13.28
195,MIN,443.07M,28.96,0.94,-,3.79
197,MMD,582.95M,-,-,-,21.12
199,MMU,577.46M,15.19,0.97,-,13.32
202,MUC,570.75M,14.72,0.89,-,13.92
204,MUJ,431.11M,13.79,0.90,-,14.30
206,MYC,300.73M,14.77,0.90,-,14.04
208,MYI,919.35M,14.65,0.91,-,13.49
210,MYN,516.77M,15.18,0.91,-,13.05
212,NAN,439.63M,14.68,0.91,-,14.25
214,NCZ,388.75M,9.34,1.02,-,5.12
216,NMY,313.05M,14.81,0.90,-,13.40
218,NUV,2.21B,24.72,1.04,-,10.66
220,OXLC,490.20M,4.80,1.23,-,8.17
201,MUA,539.88M,18.56,1.06,-,14.98
203,MUI,547.25M,14.98,0.93,-,14.29
205,MVT,317.95M,13.53,1.00,-,14.91
207,MYD,689.30M,13.95,1.01,-,14.70
209,MYJ,367.69M,13.76,0.95,-,15.22
211,NAC,2.15B,14.51,0.91,-,14.88
213,NCV,517.55M,9.46,1.03,-,5.75
215,NHF,574.72M,-,-,-,17.74
217,NQP,528.97M,14.41,0.88,-,14.15
219,OIA,374.61M,16.12,1.01,-,7.88
222,PCK,323.67M,14.47,1.13,-,10.10
224,PCQ,376.08M,17.21,1.42,-,19.98
226,PDT,873.53M,14.68,1.18,-,17.98
228,PFN,700.70M,11.52,1.06,-,10.55
230,PKO,472.15M,-,-,-,27.51
232,PML,996.75M,15.20,1.29,-,15.93
234,PMO,453.95M,16.86,0.99,-,13.18
236,PPR,737.46M,10.60,0.92,-,4.99
238,PSF,374.13M,-,-,-,31.17
240,RCS,398.82M,11.15,1.29,-,9.18
221,PCI,3.48B,-,-,-,25.23
223,PCN,749.78M,13.08,1.27,-,18.92
225,PDI,1.86B,-,-,-,32.75
